AuditLog	(spread)	src/app/operador/(console)/tenants/[id]/negocio.server.ts:162	create	call@161	spread audit
Service	price	src/blueprints/agenda/index.ts:59	create	call@53	s.price
WorkingHours	(indirecto)	src/blueprints/agenda/index.ts:73	create>workingHours.create	call@67	MONDAY_TO_SATURDAY.map((w) => ({ tenantId, ...w }))
Product	pricePerKg	src/blueprints/gastronomia/index.ts:31	create	call@30	item.pricePerKg
Product	price	src/blueprints/gastronomia/index.ts:35	create	call@34	item.price
Service	price	src/blueprints/generico.ts:38	create	call@37	0
Service	price	src/blueprints/generico.ts:41	create	call@40	0
Product	price	src/blueprints/generico.ts:46	create	call@45	0
Product	price	src/blueprints/generico.ts:49	create	call@48	0
Service	price	src/blueprints/oficios/index.ts:51	create	call@45	s.price
WorkingHours	(indirecto)	src/blueprints/oficios/index.ts:63	create>workingHours.create	call@58	MONDAY_TO_SATURDAY.map((w) => ({ tenantId, ...w }))
Product	pricePerKg	src/blueprints/retail/index.ts:31	create	call@30	c.pricePerKg
Product	price	src/blueprints/retail/index.ts:35	create	call@34	c.price
Service	price	src/blueprints/servicios.ts:26	create	call@20	0
Service	price	src/blueprints/servicios.ts:35	create	call@29	0
WorkingHours	(indirecto)	src/blueprints/servicios.ts:50	create>workingHours.create	call@44	mondayToSaturday
Appointment	priceAtBooking	src/lib/actions.ts:361	create	call@351	Math.max(0, basePrice - discountAmount)
Appointment	discountAmount	src/lib/actions.ts:364	create	call@351	(shorthand)
MovimientoImportado	(indirecto)	src/lib/bancos-actions.ts:235	createMany	call@235	filas
ImportacionBancaria	(spread)	src/lib/bancos-actions.ts:242	updateMany	call@237	spread (reproceso ? { estado: "confirmada" } : {})
Tenant	bancosUmbralIdentificacion	src/lib/bancos-actions.ts:582	update	call@579	umbral
CashMovement	amount	src/lib/caja/cash-sale.ts:151	create	call@145	elig.amount
CashMovement	amount	src/lib/caja/cobro-turno.ts:149	create	call@143	elig.amount
CashSession	openingFloat	src/lib/caja-actions.ts:138	create	call@133	(shorthand)
CashMovement	amount	src/lib/caja-actions.ts:143	create>movements.create	call@133	openingFloat
CashSession	closingExpected	src/lib/caja-actions.ts:241	update	call@236	arqueo.expected
CashSession	closingCounted	src/lib/caja-actions.ts:242	update	call@236	arqueo.counted
CashSession	closingDiff	src/lib/caja-actions.ts:243	update	call@236	arqueo.diff
CashMovement	(spread)	src/lib/caja-actions.ts:264	create	call@264	spread ajuste
LeadCampania	(spread)	src/lib/campania-actions.ts:86	upsert.update	call@70	spread (acepta ? { consentimientoEn: new Date() } : {})
Tenant	(spread)	src/lib/cartera-actions.ts:199	updateMany	call@197	spread data
Tenant	(spread)	src/lib/cartera-actions.ts:199	updateMany	call@197	spread (pv !== null ? { arcaPuntoVenta: pv } : {})
Service	price	src/lib/catalog-actions.ts:175	create	call@169	(shorthand)
Service	residentPrice	src/lib/catalog-actions.ts:176	create	call@169	(shorthand)
Service	depositAmount	src/lib/catalog-actions.ts:177	create	call@169	(shorthand)
Service	price	src/lib/catalog-actions.ts:209	update	call@207	(shorthand)
Service	residentPrice	src/lib/catalog-actions.ts:209	update	call@207	(shorthand)
Service	depositAmount	src/lib/catalog-actions.ts:209	update	call@207	(shorthand)
Product	(indirecto)	src/lib/catalog-actions.ts:410	updateMany	call@410	data
Product	(indirecto)	src/lib/catalog-actions.ts:417	updateMany	call@417	data
Professional	(indirecto)	src/lib/catalog-actions.ts:522	update	call@522	data
